systemSku,Inventory
210000001685,2
210000001686,3
210000001687,2
210000001688,0
210000001689,0
210000001690,0
210000001691,2
210000001692,6
210000001693,22
210000001694,21
210000001695,1
210000001696,5
210000001697,0
210000001698,4
210000001699,5
210000001700,13
210000001701,8
210000001702,2
210000001703,16
210000001704,12
210000001705,3
210000001706,0
210000001707,4
210000001708,3
210000001709,0
210000001710,0
210000001711,0
210000001712,0
210000001713,0
210000001715,0
210000001716,0
210000001717,2
210000001718,5
210000001719,2
210000001720,0
210000001721,0
210000001723,0
210000001724,0
210000001725,7
210000001726,0
210000001727,2
210000001728,1
210000001729,10
210000001730,10
210000001731,0
210000001739,10
210000001740,0
210000001741,0
210000001742,0
210000001743,0
210000001744,0
210000001745,3
210000001746,2
210000001747,2
210000001748,2
210000001749,3
210000001750,0
210000001751,3
210000001752,0
210000001753,0
210000001754,2
210000001755,1
210000001756,0
210000001757,1
210000001758,0
210000001759,0
210000001760,0
210000001761,3
210000001762,5
210000001763,3
210000001764,1
210000001765,1
210000001772,0
210000001773,1
210000001774,0
210000001775,0
210000001776,1
210000001777,0
210000001778,1
210000001779,0
210000001780,0
210000001781,0
210000001782,6
210000001783,10
210000001784,0
210000001785,1
210000001786,0
210000001787,1
210000001788,0
210000001789,0
210000001790,0
210000001791,0
210000001792,2
210000001793,0
210000001794,0
210000001795,0
210000001796,0
210000001797,2
210000001798,1
210000001799,0
210000001800,0
210000001801,0
210000001802,6
210000001804,3
210000001805,0
210000001807,1
210000001808,4
210000001809,6
210000001810,8
210000001811,10
210000001812,1
210000001813,8
210000001814,0
210000001815,2
210000001924,9
210000001925,0
210000001934,0
210000001935,0
210000001949,0
210000001950,2
210000002006,0
210000002069,0
210000002070,50
210000002072,24
210000002245,0
210000002246,0
210000002488,1
210000002748,64
210000002749,97
210000002758,0
210000002800,0
210000002809,1
210000002811,5
210000002813,6
210000002892,193
210000002893,36
210000002894,0
210000002895,200
210000002896,16
210000002897,107
210000002898,83
210000002900,4
210000002901,6
210000002905,0
210000002962,0
210000002993,0
210000002994,4
210000003048,99
210000003058,0
210000003059,0
210000003060,0
210000003061,0
210000003062,0
210000003063,0
210000003064,0
210000003065,0
210000003066,0
210000003067,0
210000003068,0
210000003069,0
210000003070,0
210000003071,0
210000003072,0
210000003073,0
210000003074,0
210000003075,0
210000003076,0
210000003077,0
210000003078,0
210000003079,0
210000003080,0
210000003081,0
210000003082,0
210000003083,0
210000003084,0
210000003085,0
210000003086,0
210000003087,0
210000003088,0
210000003089,0
210000003090,0
210000003091,0
210000003092,0
210000003093,0
210000003094,0
210000003095,0
210000003096,0
210000003097,0
210000003098,0
210000003099,0
210000003136,0
210000003137,0
210000003138,0
210000003139,0
210000003140,0
210000003141,0
210000003142,45
210000003143,24
210000003144,0
210000003157,0
210000003158,0
210000003159,0
210000003160,0
210000003161,0
210000003162,0
210000003163,0
210000003164,0
210000003165,0
210000003166,0
210000003167,0
210000003168,0
210000003169,0
210000003170,0
210000003171,0
210000003172,0
210000003173,0
210000003174,0
210000003175,0
210000003176,0
210000003177,0
210000003178,0
210000003179,0
210000003180,0
210000003181,0
210000003182,0
210000003183,0
210000003184,0
210000003185,0
210000003186,0
210000003187,0
210000003188,0
210000003189,0
210000003190,0
210000003191,0
210000003192,0
210000003193,0
210000003194,0
210000003195,10
210000003196,17
210000003197,0
210000003198,0
210000003199,0
210000003200,0
210000003201,0
210000003206,0
210000003207,8
210000003208,0
210000003209,15
210000003210,0
210000003211,0
210000003212,0
210000003213,0
210000003214,0
210000003216,0
210000003217,3
210000003218,10
210000003219,5
210000003220,0
210000003221,0
210000003222,0
210000003223,0
210000003224,1
210000003225,0
210000003226,6
210000003227,7
210000003228,2
210000003229,1
210000003230,0
210000003233,10
210000003234,0
210000003235,0
210000003236,0
210000003237,0
210000003238,0
210000003239,0
210000003240,0
210000003241,0
210000003242,12
210000003243,27
210000003244,0
210000003245,0
210000003246,0
210000003247,0
210000003248,0
210000003249,0
210000003250,0
210000003251,0
210000003252,0
210000003253,0
210000003254,14
210000003255,10
210000003256,5
210000003257,0
210000003258,0
210000003259,0
210000003262,0
210000003263,0
210000003264,0
210000003265,0
210000003266,0
210000003267,0
210000003268,0
210000003290,0
210000003291,10
210000003292,14
210000003293,4
210000003294,0
210000003295,3
210000003296,0
210000003297,0
210000003298,0
210000003299,0
210000003300,0
210000003301,0
210000003302,12
210000003303,0
210000003304,0
210000003305,0
210000003306,1
210000003308,48
210000003309,0
210000003310,23
210000003311,0
210000003312,30
210000003313,0
210000003314,0
210000003315,32
210000003316,17
210000003317,0
210000003320,0
210000003321,0
210000003323,0
210000003324,23
210000003325,0
210000003326,9
210000003327,15
210000003328,2
210000003329,8
210000003330,8
210000003331,2
210000003332,18
210000003333,2
210000003335,5
210000003336,34
210000003337,66
210000003338,0
210000003339,15
210000003340,0
210000003341,20
210000003342,6
210000003343,6
210000003344,10
210000003345,30
210000003346,46
210000003347,29
210000003348,14
210000003349,17
210000003350,8
210000003351,11
210000003352,20
210000003353,56
210000003354,9
210000003355,0
210000003356,10
210000003357,33
210000003358,0
210000003359,29
210000003360,12
210000003361,15
210000003362,0
210000003363,0
210000003364,8
210000003365,9
210000003366,5
210000003367,7
210000003368,7
210000003369,9
210000003370,0
210000003371,8
210000003373,7
210000003374,3
210000003375,2
210000003376,4
210000003377,10
210000003378,4
210000003379,14
210000003380,2
210000003381,4
210000003382,3
210000003383,11
210000003384,0
210000003385,1
210000003386,3
210000003387,2
210000003388,0
210000003389,0
210000003390,11
210000003391,14
210000003392,0
210000003393,0
210000003394,2
210000003395,5
210000003396,7
210000003397,6
210000003398,0
210000003399,16
210000003400,3
210000003401,5
210000003402,3
210000003403,1
210000003404,2
210000003405,4
210000003406,0
210000003407,18
210000003408,7
210000003409,0
210000003410,0
210000003411,0
210000003412,0
210000003413,24
210000003414,0
210000003415,0
210000003416,5
210000003417,2
210000003418,5
210000003419,19
210000003420,0
210000003421,10
210000003422,0
210000003423,0
210000003424,16
210000003425,0
210000003426,10
210000003427,122
210000003428,34
210000003429,0
210000003430,0
210000003431,0
210000003432,0
210000003433,1
210000003434,3
210000003435,2
210000003436,0
210000003437,1
210000003438,0
210000003442,4
210000003443,0
210000003444,2
210000003445,0
210000003446,0
210000003447,0
210000003448,1
210000003449,1
210000003450,0
210000003451,2
210000003452,2
210000003453,2
210000003454,0
210000003455,2
210000003456,2
210000003457,1
210000003458,0
210000003459,28
210000003460,43
210000003461,0
210000003462,0
210000003464,2
210000003465,18
210000003466,15
210000003467,9
210000003468,19
210000003470,416
210000003471,0
210000003472,0
210000003473,2
210000003474,0
210000003475,3
210000003476,1
210000003477,0
210000003478,2
210000003479,0
210000003480,0
210000003481,0
210000003482,0
210000003483,2
210000003484,1
210000003485,2
210000003486,0
210000003487,0
210000003488,0
210000003489,0
210000003490,0
210000003491,1
210000003492,2
210000003493,2
210000003494,1
210000003495,0
210000003496,1
210000003497,2
210000003498,1
210000003499,0
210000003500,3
210000003501,5
210000003502,4
210000003503,1
210000003504,2
210000003505,3
210000003506,1
210000003507,0
210000003508,0
210000003509,0
210000003510,0
210000003511,0
210000003512,29
210000003513,24
210000003514,5
210000003515,6
210000003516,7
210000003517,6
210000003518,0
210000003519,2
210000003520,1
210000003521,0
210000003522,6
210000003523,2
210000003524,4
210000003525,1
210000003526,6
210000003527,1
210000003528,0
210000003529,0
210000003530,0
210000003531,2
210000003532,0
210000003533,1
210000003534,0
210000003535,0
210000003536,0
210000003537,0
210000003538,2
210000003539,0
210000003540,2
210000003541,2
210000003542,0
210000003543,0
210000003544,0
210000003545,0
210000003546,0
210000003547,0
210000003548,0
210000003549,19
210000003550,4
210000003551,4
210000003552,4
210000003553,1
210000003554,0
210000003555,4
210000003556,4
210000003557,2
210000003558,5
210000003559,2
210000003560,4
210000003561,1
210000003562,4
210000003563,4
210000003564,4
210000003565,4
210000003566,0
210000003567,0
210000003568,0
210000003569,0
210000003570,0
210000003571,0
210000003572,0
210000003573,0
210000003574,4
210000003575,3
210000003576,4
210000003577,4
210000003578,3
210000003579,4
210000003580,1
210000003581,2
210000003582,1
210000003583,3
210000003584,2
210000003585,8
210000003586,3
210000003587,19
210000003588,19
210000003589,1
210000003590,0
210000003591,0
210000003592,0
210000003593,0
210000003594,0
210000003595,0
210000003596,0
210000003597,0
210000003598,0
210000003599,0
210000003600,0
210000003601,0
210000003603,0
210000003607,0
210000003608,0
210000003609,0
210000003610,0
210000003611,0
210000003612,0
210000003613,0
210000003614,0
210000003615,0
210000003616,0
210000003617,0
210000003618,0
210000003619,0
210000003620,0
210000003621,0
210000003622,0
210000003623,0
210000003624,0
210000003625,0
210000003626,0
210000003627,0
210000003628,0
210000003629,0
210000003630,0
210000003631,0
210000003632,0
210000003633,0
210000003634,0
210000003635,0
210000003636,0
210000003637,0
210000003649,0
210000003650,0
210000003651,0
210000003652,0
210000003653,0
210000003654,0
210000003655,0
210000003656,0
210000003657,0
210000003658,0
210000003659,0
210000003660,0
210000003661,0
210000003662,0
210000003663,0
210000003664,0
210000003665,0
210000003666,0
210000003667,0
210000003668,1
210000003669,0
210000003670,0
210000003671,0
210000003672,0
210000003673,0
210000003675,0
210000003676,0
210000003677,0
210000003678,0
210000003679,0
210000003680,0
210000003681,0
210000003682,0
210000003683,0
210000003684,0
210000003685,0
210000003686,0
210000003687,0
210000003688,0
210000003689,0
210000003690,0
210000003691,0
210000003692,0
210000003693,0
210000003694,0
210000003696,0
210000003697,0
210000003698,0
210000003699,0
210000003700,0
210000003701,0
210000003702,2
210000003703,0
210000003704,6
210000003705,3
210000003706,0
210000003707,0
210000003708,1
210000003714,0
210000003715,0
210000003716,0
210000003717,0
210000003718,0
210000003719,0
210000003720,0
210000003722,0
210000003726,0
210000003728,0
210000003729,0
210000003730,0
210000003731,0
210000003732,0
210000003733,0
210000003735,0
210000003736,0
210000003739,0
210000004696,11
210000004725,0
210000004726,8
210000004727,9
210000004728,0
210000004729,11
210000004730,0
210000004960,17
210000004986,6
210000004988,1
210000004990,3
210000005008,116
210000005010,13
210000005224,12
210000005225,12
210000005226,2
210000005227,15
210000005230,5
210000005236,4
210000005237,5
210000005238,4
210000005239,2
210000005240,1
210000005241,1
210000005242,3
210000005243,7
210000005244,4
210000005245,3
210000005251,10
210000005252,10
210000005253,12
210000005254,6
210000005255,0
210000005256,0
210000005257,0
210000005258,1
210000005259,0
210000005260,0
210000005266,2
210000005267,2
210000005268,8
210000005269,2
210000005270,0
210000005271,13
210000005272,1
210000005273,16
210000005274,3
210000005275,2
210000005276,3
210000005277,7
210000005278,8
210000005279,5
210000005280,1
210000005291,3
210000005292,4
210000005293,5
210000005294,4
210000005295,2
210000005296,1
210000005297,3
210000005298,7
210000005299,0
210000005300,4
210000005301,2
210000005312,7
210000005313,14
210000005314,14
210000005315,5
210000005316,1
210000005317,9
210000005318,19
210000005319,20
210000005320,10
210000005321,3
210000005322,7
210000005323,9
210000005324,15
210000005325,6
210000005326,0
210000005327,9
210000005348,6
210000005357,3
210000005358,3
210000005359,3
210000005360,1
210000005361,0
210000005362,2
210000005363,4
210000005364,3
210000005365,0
210000005366,0
210000005367,1
210000005368,0
210000005369,1
210000005370,0
210000005371,0
210000005383,11
210000005384,11
210000005427,5
210000005428,4
210000005429,4
210000005430,5
210000005431,1
210000005473,0
210000005474,0
210000005475,0
210000005476,1
210000005488,0
210000005489,3
210000005533,0
210000005534,1
210000005535,0
210000005536,0
210000005537,0
210000005543,0
210000005544,3
210000005545,2
210000005546,0
210000005547,0
210000005548,0
210000005549,0
210000005550,0
210000005551,0
210000005552,0
210000005583,3
210000005586,1
210000005587,0
210000005711,1
210000005712,3
210000005713,5
210000005714,3
210000005715,4
210000005716,0
210000005719,0
210000005721,0
210000005748,7
210000005766,0
210000005868,2
210000005869,4
210000005870,9
210000005871,7
210000005872,4
210000005873,0
210000005874,1
210000005875,1
210000005876,1
210000005877,0
210000005878,3
210000005879,0
210000005880,3
210000005881,3
210000005882,0
210000005908,0
210000005909,0
210000005910,0
210000005911,0
210000005912,0
210000005933,2
210000005934,3
210000005935,5
210000005936,2
210000005937,0
210000005938,0
210000005939,0
210000005940,2
210000005941,1
210000005942,0
210000005943,2
210000005944,0
210000005945,2
210000005946,0
210000005947,0
210000005968,1
210000005969,0
210000005970,0
210000005971,1
210000005972,0
210000005995,0
210000006023,0
210000006049,0
210000006050,0
210000006051,0
210000006052,0
