description,upc,manufacturerSku,Price_amount,MSRP_amount,rideengine_variants_price,price_difference,update_price
Ride Engine Roam Harness V1 S,840362176476,3231520001,250,250,179.00,-71,TRUE
Ride Engine Roam Harness V1 M,840362176483,3231520003,250,250,179.00,-71,TRUE
Ride Engine Roam Harness V1 L,840362176490,3231520005,250,250,179.00,-71,TRUE
Ride Engine Roam Harness V1 XL,840362176506,3231520007,250,250,179.00,-71,TRUE
Ride Engine Contour Seat Harness V2 S,840362175226,3231516001,230,230,175.00,-55,TRUE
Ride Engine Contour Seat Harness V2 L,840362175240,3231516005,230,230,175.00,-55,TRUE
Ride Engine Slash Seat Harness V1 XS,840362175271,3231517000,179,179,139.00,-40,TRUE
Ride Engine Slash Seat Harness V1 S,840362175288,3231517001,179,179,139.00,-40,TRUE
Ride Engine Slash Seat Harness V1 L,840362175301,3231517005,179,179,143.20,-35.8,TRUE
Ride Engine Slash Seat Harness V1 XL,840362175318,3231517007,179,179,139.00,-40,TRUE
Ride Engine Vinaka Wingsurf Harness V2 Zig Zag S,840362175332,3231518001,154,154,99.00,-55,TRUE
Ride Engine Vinaka Wingsurf Harness V2 Zig Zag M,840362175349,3231518003,154,154,99.00,-55,TRUE
Ride Engine Vinaka Wingsurf Harness V2 Zig Zag L,840362175356,3231518005,154,154,99.00,-55,TRUE
Ride Engine Vinaka Wingsurf Harness V2 Zig Zag XL,840362175363,3231518007,154,154,99.00,-55,TRUE
Ride Engine Vinaka Wingsurf Harness V2 Grey Camo S,840362175370,3231518011,154,154,99.00,-55,TRUE
Ride Engine Vinaka Wingsurf Harness V2 Grey Camo M,840362175387,3231518013,154,154,99.00,-55,TRUE
Ride Engine Vinaka Wingsurf Harness V2 Grey Camo L,840362175394,3231518015,154,154,99.00,-55,TRUE
Ride Engine Vinaka Wingsurf Harness V2 Grey Camo XL,840362175400,3231518017,154,154,99.00,-55,TRUE
Ride Engine Sky Hook Wing Vest V1 S,840362175882,3232561001,200,200,100.00,-100,TRUE
Ride Engine Sky Hook Wing Vest V1 M,840362175899,3232561003,200,200,100.00,-100,TRUE
Ride Engine Team Vest S,840362175929,3232562001,190,190,59.00,-131,TRUE
Ride Engine Team Vest M,840362175936,3232562003,190,190,59.00,-131,TRUE
Ride Engine Team Vest L,840362175943,3232562005,190,190,59.00,-131,TRUE
